ANOVA;23064;analysis of variance
t-test;17017;t test
wilcoxon signed rank;16000
linear regression;19517
MANOVA;16000;multivariant analysis of variance
factor analysis;16000
kruskal-wallis;16000
mann-whitney u-test;16000;u test,u-test,mann-whitney,mann whitney
multiple regression;16735;multiple linear regression
pearson correlation;16000
ANCOVA;16000
